shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
4..N06R,40.752145,-73.975594,301,
4..N06R,40.752173,-73.975556,302,
4..N06R,40.752202,-73.975521,303,
4..N06R,40.752233,-73.975487,304,
4..N06R,40.752266,-73.975456,305,
4..N06R,40.752300,-73.975427,306,
4..N06R,40.752336,-73.975400,307,
4..N06R,40.757107,-73.971920,308,
4..N06R,40.762526,-73.967967,309,
4..N06R,40.768141,-73.963870,310,
4..N06R,40.773620,-73.959874,311,
4..N06R,40.779492,-73.955589,312,
4..N06R,40.785672,-73.951070,313,
4..N06R,40.790600,-73.947478,314,
4..N06R,40.795020,-73.944250,315,
4..N06R,40.798629,-73.941617,316,
4..N06R,40.804138,-73.937594,317,
4..N06R,40.804172,-73.937570,318,
4..N06R,40.808118,-73.934685,319,
4..N06R,40.808149,-73.934662,320,
4..N06R,40.808179,-73.934639,321,
4..N06R,40.808209,-73.934616,322,
4..N06R,40.808239,-73.934592,323,
4..N06R,40.808267,-73.934569,324,
4..N06R,40.808296,-73.934546,325,
4..N06R,40.808323,-73.934523,326,
4..N06R,40.808351,-73.934501,327,
4..N06R,40.808377,-73.934478,328,
4..N06R,40.808403,-73.934455,329,
4..N06R,40.808429,-73.934433,330,
4..N06R,40.808454,-73.934410,331,
4..N06R,40.808479,-73.934388,332,
4..N06R,40.808503,-73.934366,333,
4..N06R,40.808526,-73.934344,334,
4..N06R,40.812093,-73.930931,335,
4..N06R,40.813224,-73.929849,336,
4..N06R,40.813881,-73.929281,337,
4..N06R,40.813931,-73.929244,338,
4..N06R,40.813982,-73.929209,339,
4..N06R,40.814033,-73.929174,340,
4..N06R,40.814085,-73.929142,341,
4..N06R,40.814137,-73.929110,342,
4..N06R,40.814189,-73.929080,343,
4..N06R,40.814242,-73.929051,344,
4..N06R,40.814295,-73.929023,345,
4..N06R,40.814348,-73.928997,346,
4..N06R,40.814402,-73.928972,347,
4..N06R,40.814456,-73.928949,348,
4..N06R,40.814511,-73.928927,349,
4..N06R,40.814566,-73.928906,350,
4..N06R,40.814621,-73.928886,351,
4..N06R,40.814677,-73.928868,352,
4..N06R,40.816617,-73.928138,353,
4..N06R,40.816675,-73.928118,354,
4..N06R,40.816732,-73.928097,355,
4..N06R,40.816790,-73.928076,356,
4..N06R,40.816847,-73.928054,357,
4..N06R,40.816905,-73.928031,358,
4..N06R,40.816962,-73.928008,359,
4..N06R,40.817019,-73.927985,360,
4..N06R,40.817077,-73.927961,361,
4..N06R,40.817134,-73.927936,362,
4..N06R,40.817191,-73.927911,363,
4..N06R,40.817247,-73.927885,364,
4..N06R,40.817304,-73.927859,365,
4..N06R,40.817361,-73.927832,366,
4..N06R,40.817417,-73.927805,367,
4..N06R,40.817474,-73.927778,368,
4..N06R,40.818375,-73.927351,369,
4..N06R,40.820256,-73.926469,370,
4..N06R,40.820412,-73.926398,371,
4..N06R,40.820563,-73.926341,372,
4..N06R,40.820713,-73.926291,373,
4..N06R,40.820861,-73.926251,374,
4..N06R,40.821007,-73.926218,375,
4..N06R,40.821152,-73.926194,376,
4..N06R,40.821296,-73.926179,377,
4..N06R,40.821438,-73.926171,378,
4..N06R,40.821579,-73.926173,379,
4..N06R,40.821718,-73.926182,380,
4..N06R,40.821856,-73.926200,381,
4..N06R,40.821992,-73.926226,382,
4..N06R,40.822127,-73.926261,383,
4..N06R,40.822260,-73.926304,384,
4..N06R,40.822389,-73.926350,385,
4..N06R,40.824371,-73.927026,386,
4..N06R,40.824472,-73.927070,387,
4..N06R,40.824562,-73.927106,388,
4..N06R,40.824649,-73.927132,389,
4..N06R,40.824773,-73.927165,390,
4..N06R,40.824910,-73.927191,391,
4..N06R,40.825108,-73.927210,392,
4..N06R,40.825316,-73.927208,393,
4..N06R,40.825624,-73.927148,394,
4..N06R,40.825847,-73.927074,395,
4..N06R,40.826064,-73.926972,396,
4..N06R,40.826290,-73.926840,397,
4..N06R,40.827994,-73.925831,398,
4..N06R,40.835537,-73.921400,399,
4..N06R,40.837105,-73.920476,400,
4..N06R,40.837361,-73.920309,401,
4..N06R,40.837556,-73.920130,402,
4..N06R,40.837704,-73.919948,403,
4..N06R,40.837967,-73.919553,404,
4..N06R,40.838130,-73.919312,405,
4..N06R,40.838292,-73.919114,406,
4..N06R,40.838463,-73.918951,407,
4..N06R,40.838699,-73.918774,408,
